Iyz6,0.007873
Ixy6,4.1e-05
Ixz6,0.001933
Izz6,9.8e-05
Ixx6 + 1.0*Izz5,0.003466
Ixy5,-0.007676
Ixz5,0.000832
Iyz5,0.006561
Iyy6 + 1.0*Izz5,0.003959
Iam6,0.011863
Ixz4,0.004027
Iyz4,-0.006521
Ia6,0.008201
Izz4 - 1.0*Ixx2 - 1.0*Ixx4 - 1.0*Ia1 - 0.45*my3 - 1.0*Ixx3 + 0.0494*m6 - 0.07*mz3 + 0.0494*m5 - 0.001225*m3 - 1.0*Izz1 + 0.0494*m4,-0.578739
Ixy4,-0.007209
mx6,-0.02221
my6,0.008169
Iyy5 + 1.0*Ixx2 + 1.0*Ixx4 + 1.0*Ia1 + 0.45*my3 + 1.0*Ixx3 - 0.0494*m6 + 0.07*mz3 - 0.0494*m5 + 0.001225*m3 + 1.0*Izz1 - 0.0494*m4,0.577517
Iyz3,0.011864
mx5,0.020994
Ia3,0.136267
Ia4,0.032451
mz6 - 1.0*my5,0.016724
Iyy4 + 1.0*Ixx2 + 1.0*Ia1 + 0.45*my3 + 1.0*Ixx3 - 0.0494*m6 + 0.07*mz3 - 0.0494*m5 + 0.001225*m3 + 1.0*Izz1 - 0.0494*m4,0.581894
Iyz2,0.008784
Ixy2,-0.021459
Ixy3,-0.000559
Ia5,0.040565
mx3,0.181641
Ixz3,0.001232
Ia2 + 1.0*Izz2 + 0.050625*m6 + 0.050625*m5 + 0.050625*m3 + 0.050625*m4,0.953987
Ixz2 - 0.007875*m6 - 0.225*mz3 - 0.007875*m5 - 0.007875*m3 - 0.007875*m4,-0.14399
mx4,-0.003776
Iyy2 - 1.0*Ixx2 + 0.050625*m6 + 0.050625*m5 + 0.050625*m3 + 0.050625*m4,0.433484
Izz3 - 1.0*Ixx2 - 1.0*Ia1 - 1.0*Ixx3 - 0.001225*m6 - 0.07*mz3 - 0.001225*m5 - 0.001225*m3 - 1.0*Izz1 - 0.001225*m4,-0.803078
my4 + 1.0*mz5,-0.012933
Iyy3 + 1.0*Ixx2 + 1.0*Ia1 + 0.001225*m6 + 0.07*mz3 + 0.001225*m5 + 0.001225*m3 + 1.0*Izz1 + 0.001225*m4,0.745858
mz4 - 1.0*my3 + 0.225*m6 + 0.225*m5 + 0.225*m4,0.618645
mx2 + 0.225*m6 + 0.225*m5 + 0.225*m3 + 0.225*m4,2.393976
fvm6,1.221502
fv6,0.477713
Ixx5 - 1.0*Izz5 + 1.0*Ixx2 + 1.0*Ixx4 + 1.0*Ia1 + 0.45*my3 + 1.0*Ixx3 - 0.0494*m6 + 0.07*mz3 - 0.0494*m5 + 0.001225*m3 + 1.0*Izz1 - 0.0494*m4,0.575997
fv4,1.083779
my2,-0.125024
fv3,1.929081
fv1,8.050874
fv5,2.000629
fv2,5.463822
off1,0.174131
off6,0.155641
off4,-0.16556
off5,-0.300906
fsm6,-0.415982
fs5,2.982289
fs2,8.362462
fs3,6.514133
fs1,7.151388
fs4,2.622428
fs6,3.616083
off3,1.402522
off2,1.897995
