Thanh Bps,,,prof. Gautier Bps,,,Essential params,,WLS with 10 CAD params,,WLS with load’s mass,,TLS with 10 CAD params,,TLS with load’s mass,
Base parameters,id_val,std_rel(%),Base parameters,id_val,std_rel(%),id_val,std_rel(%),id_val,std_rel(%),id_val,std_rel(%),id_val,std_rel(%),id_val,std_rel(%)
Ixx5 - 1.0*Iyy5 + 1.0*Iyy6,0.013287,25.85,xx5R = xx5  - yy5  + yy6 ,0.00293,76.8254,,,,,,,,,,
Ixy5,-0.007842,19.59,xy5 ,0.00055,203.3751,,,,,,,,,,
Ixz5,0.003238,50.46,xz5 ,0.000998,117.127,,,,,,,,,,
Iyz5,0.006432,24.09,yz5 ,0.000716,163.805,,,,,,,,,,
Izz5 + 1.0*Iyy6,0.006635,39.11,zz5R = zz5  + yy6 ,0.00109,217.0015,,,,,,,,,,
mx5,0.026092,18.67,mx5 ,-0.00153,307.6661,,,,,,,,,,
my5 - 1.0*mz6,-0.025315,18.28,my5R = my5  - mz6 ,-0.0309,12.5921,-0.0376,8.5083,-0.024,14.6,-0.0226,15.67,-0.0252,18.08,-0.0237,17.29
Ia5,0.039661,10.78,ia5 ,0.0468,7.8959,0.0481,6.2361,0.0469,8.11,0.0424,9.28,0.0473,11.6,0.049,8.67
fv5,2.3055,1.67,fv5 ,1.86,1.8268,1.86,1.8131,1.24,3.63,1.21,4.56,1.24,4.65,1.41,3.88
fs5,1.900841,4.79,fs5 ,3.03,2.9482,3.01,2.935,2.81,3.87,2.71,4.83,2.84,4.87,3.15,3.93
off5,-0.293968,22.95,off5,-0.0288,194.4682,,,,,,,,,,
Ixx6 - 1.0*Iyy6,-0.004215,33.48,xx6R = xx6  - yy6 ,-0.00136,71.0549,,,,,,,,,,
Ixy6,0.001673,43.91,xy6 ,-2E-06,31015.493,,,,,,,,,,
Ixz6,-0.002099,44.99,xz6 ,0.00226,29.4666,,,,,,,,,,
Iyz6,-0.00822,10.46,yz6 ,0.000896,68.8983,,,,,,,,,,
Izz6,0.001242,99.08,zz6 ,0.00185,45.0712,,,,,,,,,,
mx6,0.024498,12.08,mx6 ,-0.00316,83.3765,,,,,,,,,,
my6,-0.000423,720.73,my6 ,-0.00498,51.0892,,,,,,,,,,
Ia6,0.008558,24.86,ia6 ,0.0105,11.8534,0.0123,7.8523,0.0098,6.29,0.00833,7.77,0.00992,9.38,0.00969,6.79
fv6,0.602153,3.22,fv6 ,0.65,1.5859,0.673,1.3763,0.457,2.07,0.434,3.51,0.461,2.73,0.502,2.78
fs6,2.301928,4.68,fs6 ,0.282,28.7752,,,,,,,,,,
off6,0.263465,23.26,off6,0.127,24.669,,,,,0.0791,24.72,,,0.0933,17.46
Iam6,0.012909,12.86,iam6,0.00964,12.9987,0.011,11.0197,0.00849,19.92,0.00895,18.72,0.00851,20.93,0.0104,17.29
fvm6,1.185582,1.29,fvm6,0.616,1.6093,0.609,1.5182,0.43,3.21,0.411,4.31,0.432,2.87,0.475,2.88
fsm6,0.077616,98.8,fsm6,1.95,3.4705,2.09,2.1212,1.52,2.95,1.53,4.11,,,1.77,3.07
