Izz1 + 1.0*Ia1 + 1.0*Iyy2 + 1.0*Iyy3 + 0.07*mz3 + 0.05185*m3 + 0.05185*m4 + 0.05185*m5 + 0.05185*m6,1.274674,0.41,1.279165,0.59
fv1,7.975268,0.54,7.9758,0.83
fs1,7.412728,1.7,7.4121,2.6
Ixx2 - 1.0*Iyy2 - 0.050625*m3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.489793,1.58,-0.487648,2.32
Ixz2 - 0.225*mz3 - 0.007875*m3 - 0.007875*m4 - 0.007875*m5 - 0.007875*m6,-0.163053,3.0,-0.159636,4.15
Izz2 + 1.0*Ia2 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,1.073742,0.47,1.073299,0.58
mx2 + 0.225*m3 + 0.225*m4 + 0.225*m5 + 0.225*m6,2.174171,0.43,2.173583,0.54
fv2,5.463133,0.9,5.459169,1.11
fs2,8.362731,1.43,8.370338,1.76
Ixx3 - 1.0*Iyy3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.105045,8.07,0.087072,11.52
Izz3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.126533,3.98,0.125777,4.05
my3 - 1.0*mz4 - 0.225*m4 - 0.225*m5 - 0.225*m6,-0.591861,1.48,-0.598992,1.55
Ia3,0.081944,4.91,0.082247,4.29
fv3,1.969899,1.85,1.969184,1.51
fs3,6.369895,1.91,6.37439,1.56
Ia4,0.033154,9.62,0.033171,3.69
fv4,1.097741,3.31,1.097284,1.28
fs4,2.554774,5.28,2.557429,2.04
my5 - 1.0*mz6,-0.035707,10.51,-0.034754,8.79
Ia5,0.048137,8.43,0.0483,6.35
fv5,1.837835,2.48,1.851129,1.86
fs5,3.060216,3.93,3.022033,3.0
Ia6,0.012436,17.51,0.012489,7.06
fv6,0.665396,2.84,0.666743,1.29
Iam6,0.011745,16.42,0.010747,10.87
fvm6,0.587108,2.84,0.608975,1.44
fsm6,2.13172,3.9,2.12551,1.97
