fs1,zz1R = zz1  + ia1  + yy2  + yy3  + 0.07*mz3  + 0.05185*m3   + 0.05185*m4   + 0.05185*m5   + 0.05185*m6  
fs2,fv1 
fs3,fs1 
fs4,off1
fs5,xx2R = xx2  - yy2  - 0.050625*m3   - 0.050625*m4   - 0.050625*m5   - 0.050625*m6  
fs6,xy2 
fsm6,xz2R = xz2  - 0.225*mz3  - 0.007875*m3   - 0.007875*m4   - 0.007875*m5   - 0.007875*m6  
fv1,yz2 
fv2,zz2R = zz2  + ia2  + 0.050625*m3   + 0.050625*m4   + 0.050625*m5   + 0.050625*m6  
fv3,mx2R = mx2  + 0.225*m3   + 0.225*m4   + 0.225*m5   + 0.225*m6  
fv4,my2 
fv5,fv2 
fv6,fs2 
fvm6,off2
Ia3,xx3R = xx3  - yy3  + yy4  + 0.45*mz4  + 0.050625*m4   + 0.050625*m5   + 0.050625*m6  
Ia4,xy3 
Ia5,xz3 
Ia6,yz3 
Iam6,zz3R = zz3  + yy4  + 0.45*mz4  + 0.050625*m4   + 0.050625*m5   + 0.050625*m6  
Ixx2 - 0.050625*m6 - 0.050625*m3 - 0.050625*m4 - 1.0*Iyy2 - 0.050625*m5,mx3 
Ixx3 + 1.0*Izz3 - 1.0*Iyy3,my3R = my3  - mz4  - 0.225*m4   - 0.225*m5   - 0.225*m6  
Ixx4 + 0.074*mz4 + 0.050625*m6 + 1.0*Izz3 + 0.001369*m4 + 0.050625*m5,ia3 
Ixx5 + 0.074*mz4 + 1.0*Iyy4 + 0.050625*m6 + 1.0*Izz3 + 0.001369*m4 + 0.050625*m5,fv3 
Ixx6 + 1.0*Izz5,fs3 
Ixy2,off3
Ixy3,xx4R = xx4  - yy4  + yy5 
Ixy4,xy4 
Ixy5,xz4 
Ixy6,yz4 
Ixz2 - 0.225*mz3 + 0.01215*m6 - 0.008325*m3 + 0.01215*m4 + 0.01215*m5,zz4R = zz4  + yy5 
Ixz3 + 0.091*mz4 + 0.020475*m6 + 0.003367*m4 + 0.020475*m5,mx4 
Ixz4 + 0.188*mx4,my4R = my4  + mz5 
Ixz5,ia4 
Ixz6,fv4 
Iyy5 + 0.074*mz4 + 1.0*Iyy4 - 1.0*Izz5 + 0.050625*m6 + 1.0*Izz3 + 0.001369*m4 + 0.050625*m5,fs4 
Iyy6 + 1.0*Izz5,off4
Iyz2,xx5R = xx5  - yy5  + yy6 
Iyz3,xy5 
Iyz4,xz5 
Iyz5,yz5 
Iyz6,zz5R = zz5  + yy6 
Izz1 + 0.252*mz3 + 0.05185*m6 - 1.0*Izz3 + 0.178*mz2 + 0.066501*m3 + 0.05185*m4 + 1.0*Iyy2 + 0.05185*m5 + 1.0*Iyy3 + 1.0*Ia1 + 0.007921*m2,mx5 
Izz2 + 0.050625*m6 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5 + 1.0*Ia2,my5R = my5  - mz6 
Izz4 - 0.074*mz4 - 1.0*Iyy4 - 0.050625*m6 - 1.0*Izz3 - 0.001369*m4 - 0.050625*m5,ia5 
Izz6,fv5 
mx2 + 0.225*m6 + 0.225*m3 + 0.225*m4 + 0.225*m5,fs5 
mx3 + 1.0*mz4 + 0.225*m6 + 0.037*m4 + 0.225*m5,off5
mx6,xx6R = xx6  - yy6 
my2,xy6 
my3,xz6 
my4,yz6 
my5,zz6 
my6,mx6 
mz5 + 1.0*mx4,my6 
mz6 + 1.0*mx5,ia6 
off1,fv6 
off2,fs6 
off3,off6
off4,iam6
off5,fvm6
off6,fsm6
