off4,-4.641962226860084e-02,+6.232235932951398e+01,-7.401950990471086e-02,+4.338852942992295e+01,-8.125147446942341e-02,+7.656032176910811e+01,"-0,092194","65,52",,"-0,090427","30,49","-0,102","28,1788"
xx5R,+8.115327055857731e-04,+2.360036804750617e+02,+1.187946979488238e-03,+1.793779545145238e+02,-7.725174928955858e-04,+4.181965707330017e+02,"0,007358","44,36",,"0,002655","81,42","0,00293","76,8254"
xy5 ,-1.069697810012065e-03,+7.670200647094124e+01,-1.358469501638431e-03,+6.718193850103317e+01,+3.971001808596402e-04,+3.163276152654868e+02,"-0,001251","120,77",,"0,000254","427,73","0,00055","203,3751"
xz5 ,-2.050125184946595e-03,+5.005933183892578e+01,-2.538971481088234e-03,+4.462801293099327e+01,-1.480394165378875e-03,+1.033874256218792e+02,"0,002095","76,66",,"0,001138","99,78","0,000998","117,127"
yz5 ,-3.921169669235453e-04,+2.988883693215347e+02,+9.412184396520446e-05,+1.371688937163488e+03,-1.743162908098555e-03,+9.576779375860615e+01,"0,003719","39,79",,"0,000727","156,68","0,000716","163,805"
zz5R,+3.087428687358196e-03,+6.878514823497861e+01,+2.388677648217928e-03,+9.770461781210530e+01,+5.361684776005238e-03,+5.121485272677332e+01,"0,005636","44,54",,"0,001292","178,99","0,00109","217,0015"
mx5 ,+7.970660258615106e-03,+4.934763077522944e+01,+9.363933374449804e-03,+4.627614476590786e+01,+5.646141074694646e-03,+7.863222593184139e+01,"0,006054","82,57",,"-0,003166","146,35","-0,00153","307,6661"
my5R,-1.110726178465410e-02,+2.955952267859124e+01,-1.205759701648132e-02,+3.009709192227486e+01,+1.250766384525789e-04,+3.726113174055714e+03,"-0,031663","14,11",,"-0,032007","11,9","-0,0309","12,5921"
ia5 ,+4.508462958543325e-02,+6.191847563691318e+00,+4.563939359296734e-02,+6.497031776378003e+00,+4.423385762633825e-02,+8.798510605026220e+00,"0,041626","10,22",,"0,045986","8,12","0,0468","7,8959"
fv5 ,+1.823853455460870e+00,+1.329135563974722e+00,+1.835483383293948e+00,+1.308044555268252e+00,+1.844729761342864e+00,+1.909650387769994e+00,"1,809116","2,37",,"1,809774",2,"1,86","1,8268"
fs5 ,+2.725046046392743e+00,+2.998057150101743e+00,+2.695276302144265e+00,+2.929808939723828e+00,+2.653090476313347e+00,+4.296650104807520e+00,"3,167853","3,65",,"3,170189","3,1","3,03","2,9482"
off5,+7.132583165741016e-02,+6.752817637880240e+01,+6.437938929812331e-02,+7.622623653926381e+01,+1.255680652830179e-03,+5.414895415480795e+03,"0,030544","227,28",,"-0,01171","498,83","-0,0288","194,4682"
xx6R,+1.085282474429824e-03,+9.939480340493267e+01,+8.065384933218416e-04,+1.469955358081991e+02,+3.174089627396729e-04,+5.148360493400054e+02,"-0,003267","39,83",,"-0,000991","93,49","-0,00136","71,0549"
xy6 ,+6.422271831409882e-04,+8.308743990461650e+01,+8.088808309196970e-04,+7.258790641599516e+01,+5.599113470997129e-04,+1.443661527329607e+02,"4,30E-05","1586,09",,"-0,000155","314,86","-2,00E-06","31015,493"
xz6 ,-3.368773826120253e-04,+1.791610083515402e+02,-2.072002463959550e-04,+3.162450669020067e+02,-1.767397615456433e-03,+5.205783929433186e+01,"0,001242","76,9",,"0,002046","31,4","0,00226","29,4666"
yz6 ,-1.012463997379266e-03,+5.339189654743625e+01,-1.027427184253881e-03,+5.742029543741204e+01,-7.117201449504771e-04,+1.259428194773146e+02,"0,002268","37,83",,"0,001043","57,04","0,000896","68,8983"
zz6 ,-8.654292182400840e-04,+9.819324626988471e+01,-6.679951115184024e-04,+1.385787628931176e+02,+1.097829456012385e-03,+1.346084339818547e+02,"0,003307","37,34",,"0,001683","47,48","0,00185","45,0712"
mx6 ,-6.060281655145770e-06,+3.550910142740367e+04,+9.235229783384666e-04,+2.611095550473945e+02,-7.689051214582634e-03,+3.675536632539112e+01,"-0,009252","32,49",,"-0,003855","65,66","-0,00316","83,3765"
my6 ,-2.333157635516371e-03,+9.353796389782123e+01,-2.765869178823872e-03,+8.844151828699017e+01,-6.134080480568700e-03,+4.624574255045653e+01,"-0,006979","42,06",,"-0,004222","57,85","-0,00498","51,0892"
ia6 ,+1.379407353962067e-02,+9.238437734535678e+00,+1.365292114047354e-02,+1.008955970288696e+01,+1.214739134068782e-02,+2.165808766551429e+01,"0,008839","25,25",,"0,010772","11,02","0,0105","11,8534"
fv6 ,+6.475282671212730e-01,+1.771499716029007e+00,+6.672943002952330e-01,+1.757963248929093e+00,+6.649809981677134e-01,+3.602497377445651e+00,"0,631728","3,28",,"0,63786","1,55","0,65","1,5859"
fs6 ,+3.558454909246431e-01,+1.495712878751435e+01,+3.072215586241970e-01,+1.738243186567602e+01,+2.943343550350626e-01,+3.731249739814457e+01,"0,239323","56,85",,"0,302886","26,97","0,282","28,7752"
off6,+1.769860414050609e-01,+1.705536247989772e+01,+1.687106668215955e-01,+1.873976842086115e+01,+1.852437224380520e-01,+3.393374308714237e+01,"0,167122","37,68",,"0,148544","20,29","0,127","24,669"
iam6,+1.025655731357020e-02,+1.068507870075456e+01,+1.033645199670977e-02,+1.121743097388266e+01,+9.877327118444206e-03,+1.932244246909012e+01,"0,010031","17,89",,"0,009481","13,03","0,00964","12,9987"
fvm6,+5.994119541265598e-01,+1.360250808996025e+00,+6.075078199182937e-01,+1.406720192429700e+00,+6.042407172399378e-01,+2.513224187558539e+00,"0,583695","2,79",,"0,608492","1,6","0,616","1,6093"
fsm6,+1.813593510955220e+00,+1.910456953261736e+00,+1.745961190156291e+00,+2.021422374365260e+00,+1.780409826315124e+00,+3.508748660939113e+00,"2,104186","4,66",,"2,009689","3,52","1,95","3,4705"
