zz1R,+1.241725180579758e+00,+1.204746751448968e+00,+1.242895550544118e+00,+1.290880426390255e+00,+1.244840242204068e+00,+1.055695259639149e+00,"1,244781","0,95",,"1,242856","1,07","1,24","1,1115"
fv1 ,+7.977487359178982e+00,+6.752582734041951e-01,+8.093803460119272e+00,+6.717231859561932e-01,+8.127280209398361e+00,+4.628490641922137e-01,"8,101972","0,49",,"8,079129","0,66","8,05","0,6769"
fs1 ,+6.826213768894695e+00,+2.239012468484934e+00,+6.427874995238129e+00,+2.341521066448217e+00,+6.354775614713304e+00,+1.625690893938135e+00,"6,995866","1,64",,"7,052471","2,21","7,14","2,2356"
off1,+3.251886640150927e-01,+2.725028229227387e+01,+2.964796012309586e-01,+3.040585739225572e+01,+2.938024659900291e-01,+2.077237468759910e+01,"0,43736","14,16",,"0,429254","19,9","0,392","21,8748"
xx2R,-4.739062796632250e-01,+3.944804998465790e+00,-4.778059228536563e-01,+4.247719971617840e+00,-4.802914260732842e-01,+3.304457018257974e+00,"-0,46347","2,11",,"-0,464977","2,56","-0,466","2,5875"
xy2 ,+1.285224090490252e-02,+5.111959072832807e+01,+1.949192920183583e-02,+3.654813209177903e+01,+1.136309105746150e-02,+4.840541317131787e+01,"0,003279","141,46",,"0,002589","235,37","0,00358","171,7591"
xz2R,-1.492991881632056e-01,+7.122326052793294e+00,-1.580287840719915e-01,+7.599719435069450e+00,-1.641777036050356e-01,+5.995203657471858e+00,"-0,158496","3,23",,"-0,160217","4,09","-0,16","4,1141"
yz2 ,+5.843798964133582e-03,+9.665207629083716e+01,+3.569803704632311e-03,+1.770502351602115e+02,-3.163209562847629e-03,+1.639795817533380e+02,"0,004891","78,09",,"0,004816","101,86","0,00331","149,3633"
zz2R,+1.080744223669028e+00,+1.043145408870005e+00,+1.086294608847873e+00,+1.190764666019072e+00,+1.092365417331915e+00,+1.046110284459345e+00,"1,082464","0,82",,"1,080104","1,01","1,08","1,0119"
mx2R,+2.149471697543717e+00,+2.470779013279960e+00,+2.143680826060303e+00,+2.718265487702596e+00,+2.155031759527765e+00,+2.368877526434186e+00,"2,215561","1,87",,"2,218522","2,43","2,22","2,4256"
my2 ,+1.133568745168054e-01,+2.909290231775483e+01,+1.377975704502859e-01,+2.593604558711841e+01,+1.311407651835105e-01,+2.392641689800190e+01,"0,136849","26,3",,"0,145961","31,58","0,136","32,9494"
