Joint_1,Joint_2,Joint_3,Joint_4,Joint_5,Joint_6
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,9.5874E-05,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.0003835
3.1958E-05,50.265,-70.685,0,9.5874E-05,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,9.5874E-05,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,9.5874E-05,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.686,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.686,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
3.1958E-05,50.265,-70.686,0,0,-0.00028762
3.1958E-05,50.265,-70.685,0,9.5874E-05,-0.00028762
3.1958E-05,50.265,-70.685,0,0,-0.00028762
