Izz1 + 1.0*Ia1 + 1.0*Iyy2 + 1.0*Iyy3 + 0.07*mz3 + 0.05185*m3 + 0.05185*m4 + 0.05185*m5 + 0.05185*m6,1.277849,0.47
fv1,8.008846,0.64
fs1,7.285454,2.04
Ixx2 - 1.0*Iyy2 - 0.050625*m3 - 0.050625*m4 - 0.050625*m5 - 0.050625*m6,-0.489009,1.85
Ixz2 - 0.225*mz3 - 0.007875*m3 - 0.007875*m4 - 0.007875*m5 - 0.007875*m6,-0.16116,3.53
Izz2 + 1.0*Ia2 + 0.050625*m3 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,1.07318,0.54
mx2 + 0.225*m3 + 0.225*m4 + 0.225*m5 + 0.225*m6,2.170943,0.5
fv2,5.468985,1.04
fs2,8.334701,1.66
Ixx3 - 1.0*Iyy3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.094141,9.43
Izz3 + 1.0*Iyy4 + 0.45*mz4 + 0.050625*m4 + 0.050625*m5 + 0.050625*m6,0.12724,3.86
my3 - 1.0*mz4 - 0.225*m4 - 0.225*m5 - 0.225*m6,-0.594794,1.46
Ia3,0.08152,4.25
fv3,1.971455,1.49
fs3,6.365968,1.54
Ia4,0.033322,3.68
fv4,1.096401,1.28
fs4,2.561382,2.04
my5 - 1.0*mz6,-0.034525,8.65
Ia5,0.047604,6.3
fv5,1.813056,1.93
fs5,3.142528,3.01
Ia6,0.012478,7.11
fv6,0.661815,1.32
Iam6,0.010701,10.86
fvm6,0.60274,1.46
fsm6,2.156623,2
